Effect						
)						
	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share
						
president	1.72***	1.70***	1.73***	1.71***	1.69***	1.60***
	[0.489]	[0.493]	[0.491]	[0.493]	[0.472]	[0.459]
presidentMP	-1.32**	-1.29**	-1.34**	-1.30**	-1.27**	-1.14*
	[0.623]	[0.631]	[0.633]	[0.635]	[0.603]	[0.579]
kambaMP		0.68				
		[0.574]				
multiparty	-0.02	-0.06	0.00	-0.04	0.12	0.67
	[0.451]	[0.461]	[0.466]	[0.468]	[0.634]	[0.821]
pop1962_t	-0.00*	-0.00**	-0.00*	-0.00**	-0.00*	-0.00**
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
area_t	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
urbrate1962_t	0.00	0.00	0.00	0.00	0.00	0.00
	[0.001]	[0.001]	[0.001]	[0.001]	[0.001]	[0.001]
earnings_t	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]
wage_employment_t	-0.00	0.00	-0.00	-0.00	-0.00	0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
value_cashcrops_t	0.00	0.00	-0.00	0.00	0.00	0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
year	0.07***	0.07***	0.07***	0.07***	0.07***	0.07***
	[0.024]	[0.024]	[0.024]	[0.024]	[0.024]	[0.024]
_IMomXyear_1	0.01	0.01	0.02	0.02	0.01	0.01
	[0.018]	[0.019]	[0.019]	[0.019]	[0.019]	[0.019]
_IborXyear_1	0.01	0.01	0.01	0.01	0.01	0.01
	[0.019]	[0.019]	[0.019]	[0.020]	[0.019]	[0.019]
dist2nairobi_t	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
_Iyear_1964	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05
	[0.143]	[0.143]	[0.143]	[0.143]	[0.143]	[0.143]
_Iyear_1965	-0.02	-0.02	-0.02	-0.02	-0.02	-0.02
	[0.173]	[0.173]	[0.173]	[0.173]	[0.173]	[0.173]
_Iyear_1966	0.02	0.02	0.02	0.02	0.02	0.02
	[0.185]	[0.185]	[0.185]	[0.185]	[0.185]	[0.185]
_Iyear_1967	0.11	0.11	0.11	0.11	0.11	0.11
	[0.238]	[0.238]	[0.238]	[0.238]	[0.238]	[0.238]
