Effect						
)						
	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share
						
president	1.00***	1.72***	1.25**	2.17***	1.63	1.84*
	[0.350]	[0.489]	[0.508]	[0.699]	[0.980]	[0.956]
o.pop1962			-	-		
						
_IyeaXpop_1964			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1965			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXpop_1966			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXpop_1967			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1968			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1969			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1970			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1971			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1972			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1973			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1974			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1975			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1976			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1977			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1978			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXpop_1979			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1980			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1981			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1982			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1983			0.00	0.00		
			[0.000]	[0.000]		
_IyeaXpop_1984			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1985			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1986			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1987			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1988			-0.00	0.00		
			[0.000]	[0.000]		
_IyeaXpop_1989			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1990			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1991			-0.00*	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1992			-0.00*	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1993			-0.00	-0.00		
			[0.000]	[0.000]		
_IyeaXpop_1994			-0.00	-0.00*		
			[0.000]	[0.000]		
_IyeaXpop_1995			-0.00	-0.00		
			[0.000]	[0.000]		
